"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2021-10-26;"9834";APV;YTD;0.0015815748123013492322
2021-10-27;"9834";APV;"1M";-0.0026812975509447147546
2021-10-27;"9834";APV;"3M";-0.0015368228086690517529
2021-10-27;"9834";APV;"6M";0.0000368976043307697773
2021-10-27;"9834";APV;"1Y";0.0000368976043307697773
2021-10-27;"9834";APV;YTD;0.0000368976043307697773
2021-10-28;"9834";APV;"1M";-0.0036869198174984507935
2021-10-28;"9834";APV;"3M";-0.0037567267789320657752
2021-10-28;"9834";APV;"6M";-0.0017283452828616719935
2021-10-28;"9834";APV;"1Y";-0.0017283452828616719935
2021-10-28;"9834";APV;YTD;-0.0017283452828616719935
2021-10-29;"9834";APV;"1M";-0.0051689627727250548456
2021-10-29;"9834";APV;"3M";-0.0067252798667080162288
2021-10-29;"9834";APV;"6M";-0.0034366018700321084462
2021-10-29;"9834";APV;"1Y";-0.0034366018700321084462
2021-10-29;"9834";APV;YTD;-0.0034366018700321084462
2021-10-30;"9834";APV;"1M";-0.0053362198003289418242
2021-10-30;"9834";APV;"3M";-0.0065115017764679111376
2021-10-30;"9834";APV;"6M";-0.0034460312578055337844
2021-10-30;"9834";APV;"1Y";-0.0034460312578055337844
2021-10-30;"9834";APV;YTD;-0.0034460312578055337844
2021-10-31;"9834";APV;"1M";-0.0053422554380073614150
2021-10-31;"9834";APV;"3M";-0.0065093077327469733933
2021-10-31;"9834";APV;"6M";-0.0034520783651819696046
2021-10-31;"9834";APV;"1Y";-0.0034520783651819696046
2021-10-31;"9834";APV;YTD;-0.0034520783651819696046
2021-11-01;"9834";APV;"1M";-0.0064541339166623659856
2021-11-01;"9834";APV;"3M";-0.0065091579130108981449
2021-11-01;"9834";APV;"6M";-0.0034602778328110351175
2021-11-01;"9834";APV;"1Y";-0.0034602778328110351175
2021-11-01;"9834";APV;YTD;-0.0034602778328110351175
2021-11-02;"9834";APV;"1M";-0.0054899767177982755652
2021-11-02;"9834";APV;"3M";-0.0056224788808377081700
2021-11-02;"9834";APV;"6M";-0.0025049373606795817105
2021-11-02;"9834";APV;"1Y";-0.0025049373606795817105
2021-11-02;"9834";APV;YTD;-0.0025049373606795817105
2021-11-03;"9834";APV;"1M";-0.0043465594021441526704
2021-11-03;"9834";APV;"3M";-0.0042600697737805324874
2021-11-03;"9834";APV;"6M";-0.0013698235607808713208
2021-11-03;"9834";APV;"1Y";-0.0013698235607808713208
2021-11-03;"9834";APV;YTD;-0.0013698235607808713208
2021-11-04;"9834";APV;"1M";-0.0019723849743735034855
2021-11-04;"9834";APV;"3M";-0.0022177486748454344362
2021-11-04;"9834";APV;"6M";0.0004117157683243358193
2021-11-04;"9834";APV;"1Y";0.0004117157683243358193
2021-11-04;"9834";APV;YTD;0.0004117157683243358193
2021-11-05;"9834";APV;"1M";-0.0004894914759258603303
2021-11-05;"9834";APV;"3M";-0.0009456253177381469196
2021-11-05;"9834";APV;"6M";0.0018468275901015613057
2021-11-05;"9834";APV;"1Y";0.0018468275901015613057
2021-11-05;"9834";APV;YTD;0.0018468275901015613057
2021-11-06;"9834";APV;"1M";0.0006995406046310181485
2021-11-06;"9834";APV;"3M";0.0001293305262605771812
2021-11-06;"9834";APV;"6M";0.0018388331091632224307
2021-11-06;"9834";APV;"1Y";0.0018388331091632224307
2021-11-06;"9834";APV;YTD;0.0018388331091632224307
2021-11-07;"9834";APV;"1M";-0.0002379072102558150478
2021-11-07;"9834";APV;"3M";0.0001300478731697972042
2021-11-07;"9834";APV;"6M";0.0018309411215702468715
2021-11-07;"9834";APV;"1Y";0.0018309411215702468715
2021-11-07;"9834";APV;YTD;0.0018309411215702468715
2021-11-08;"9834";APV;"1M";0.0015603857827510500314
2021-11-08;"9834";APV;"3M";0.0006392966917828002603
2021-11-08;"9834";APV;"6M";0.0023324410604329663260
2021-11-08;"9834";APV;"1Y";0.0023324410604329663260
2021-11-08;"9834";APV;YTD;0.0023324410604329663260
2021-11-09;"9834";APV;"1M";0.0021201024031683053616
2021-11-09;"9834";APV;"3M";0.0026626039003703136003
2021-11-09;"9834";APV;"6M";0.0028822153649617789588
2021-11-09;"9834";APV;"1Y";0.0028822153649617789588
2021-11-09;"9834";APV;YTD;0.0028822153649617789588
2021-11-10;"9834";APV;"1M";0.0009471480530257697468
2021-11-10;"9834";APV;"3M";0.0007466717455088959053
2021-11-10;"9834";APV;"6M";0.0016979047592886289321
2021-11-10;"9834";APV;"1Y";0.0016979047592886289321
2021-11-10;"9834";APV;YTD;0.0016979047592886289321
2021-11-11;"9834";APV;"1M";0.0012183597473437958694
2021-11-11;"9834";APV;"3M";0.0003465863647786071226
2021-11-11;"9834";APV;"6M";0.0019588528165836388883
2021-11-11;"9834";APV;"1Y";0.0019588528165836388883
2021-11-11;"9834";APV;YTD;0.0019588528165836388883
2021-11-12;"9834";APV;"1M";0.0027444374283044938644
2021-11-12;"9834";APV;"3M";-0.0007231683077576332012
2021-11-12;"9834";APV;"6M";0.0012937734985210624695
2021-11-12;"9834";APV;"1Y";0.0012937734985210624695
2021-11-12;"9834";APV;YTD;0.0012937734985210624695
2021-11-13;"9834";APV;"1M";0.0034930695860013243437
2021-11-13;"9834";APV;"3M";-0.0010373817364370504449
2021-11-13;"9834";APV;"6M";0.0012864964710002668306
2021-11-13;"9834";APV;"1Y";0.0012864964710002668306
2021-11-13;"9834";APV;YTD;0.0012864964710002668306
2021-11-14;"9834";APV;"1M";0.0026158379091850413154
2021-11-14;"9834";APV;"3M";-0.0010362657212728573622
2021-11-14;"9834";APV;"6M";0.0012791169501341078713
2021-11-14;"9834";APV;"1Y";0.0012791169501341078713
2021-11-14;"9834";APV;YTD;0.0012791169501341078713
2021-11-15;"9834";APV;"1M";0.0025088978592829288865
2021-11-15;"9834";APV;"3M";-0.0004809155863791514177
2021-11-15;"9834";APV;"6M";0.0018273538544825184084
2021-11-15;"9834";APV;"1Y";0.0018273538544825184084
2021-11-15;"9834";APV;YTD;0.0018273538544825184084
2021-11-16;"9834";APV;"1M";0.0012896412901827023786
2021-11-16;"9834";APV;"3M";-0.0016356181468735741300
2021-11-16;"9834";APV;"6M";0.0005986636302670512711
2021-11-16;"9834";APV;"1Y";0.0005986636302670512711
2021-11-16;"9834";APV;YTD;0.0005986636302670512711
2021-11-17;"9834";APV;"1M";0.0017207354208005565643
2021-11-17;"9834";APV;"3M";-0.0004564463218103089583
2021-11-17;"9834";APV;"6M";0.0010195013063288387268
2021-11-17;"9834";APV;"1Y";0.0010195013063288387268
2021-11-17;"9834";APV;YTD;0.0010195013063288387268
2021-11-18;"9834";APV;"1M";0.0025265254365815179231
2021-11-18;"9834";APV;"3M";-0.0004720570579902222696
2021-11-18;"9834";APV;"6M";0.0006708189454028277881
2021-11-18;"9834";APV;"1Y";0.0006708189454028277881
2021-11-18;"9834";APV;YTD;0.0006708189454028277881
2021-11-19;"9834";APV;"1M";0.0001746645037241432202
2021-11-19;"9834";APV;"3M";0.0002123934880483624030
2021-11-19;"9834";APV;"6M";0.0000839420498524636872
2021-11-19;"9834";APV;"1Y";0.0000839420498524636872
2021-11-19;"9834";APV;YTD;0.0000839420498524636872
2021-11-20;"9834";APV;"1M";-0.0012371147527828903379
2021-11-20;"9834";APV;"3M";0.0002139342654934549468
2021-11-20;"9834";APV;"6M";0.0000706179149552322241
2021-11-20;"9834";APV;"1Y";0.0000706179149552322241
2021-11-20;"9834";APV;YTD;0.0000706179149552322241
2021-11-21;"9834";APV;"1M";-0.0000645629330265088083
2021-11-21;"9834";APV;"3M";0.0002097333280711107038
2021-11-21;"9834";APV;"6M";0.0000573962734033640806
2021-11-21;"9834";APV;"1Y";0.0000573962734033640806
2021-11-21;"9834";APV;YTD;0.0000573962734033640806
2021-11-22;"9834";APV;"1M";-0.0000882352005715345600
2021-11-22;"9834";APV;"3M";-0.0009576471280479320347
2021-11-22;"9834";APV;"6M";-0.0011186123712953571350
2021-11-22;"9834";APV;"1Y";-0.0011186123712953571350
2021-11-22;"9834";APV;YTD;-0.0011186123712953571350
2021-11-23;"9834";APV;"1M";-0.0017310637711089808027
2021-11-23;"9834";APV;"3M";-0.0033269092441531444838
2021-11-23;"9834";APV;"6M";-0.0027668078580828885790
2021-11-23;"9834";APV;"1Y";-0.0027668078580828885790
2021-11-23;"9834";APV;YTD;-0.0027668078580828885790
2021-11-24;"9834";APV;"1M";-0.0028856400087909122292
2021-11-24;"9834";APV;"3M";-0.0056406367312895932487
2021-11-24;"9834";APV;"6M";-0.0039273400076317486420
2021-11-24;"9834";APV;"1Y";-0.0039273400076317486420
2021-11-24;"9834";APV;YTD;-0.0039273400076317486420
2021-11-25;"9834";APV;"1M";-0.0046356555202161717800
2021-11-25;"9834";APV;"3M";-0.0058134123252321175239
2021-11-25;"9834";APV;"6M";-0.0037959435388759737897
2021-11-25;"9834";APV;"1Y";-0.0037959435388759737897
2021-11-25;"9834";APV;YTD;-0.0037959435388759737897
2021-11-26;"9834";APV;"1M";-0.0070248528421858616638
2021-11-26;"9834";APV;"3M";-0.0072512957584775922557
2021-11-26;"9834";APV;"6M";-0.0054543883601998371354
2021-11-26;"9834";APV;"1Y";-0.0054543883601998371354
2021-11-26;"9834";APV;YTD;-0.0054543883601998371354
2021-11-27;"9834";APV;"1M";-0.0055010248443927267059
2021-11-27;"9834";APV;"3M";-0.0092282901105670987189
2021-11-27;"9834";APV;"6M";-0.0054643302147000790658
2021-11-27;"9834";APV;"1Y";-0.0054643302147000790658
2021-11-27;"9834";APV;YTD;-0.0054643302147000790658
2021-11-28;"9834";APV;"1M";-0.0037523095795549461385
2021-11-28;"9834";APV;"3M";-0.0092291898809737679199
2021-11-28;"9834";APV;"6M";-0.0054741695758549576770
2021-11-28;"9834";APV;"1Y";-0.0054741695758549576770
2021-11-28;"9834";APV;YTD;-0.0054741695758549576770
